"Time","Average Execution Time"
2024-08-08 18:09:00,NaN
2024-08-08 18:09:15,NaN
2024-08-08 18:09:30,NaN
2024-08-08 18:09:45,NaN
2024-08-08 18:10:00,1.57 s
2024-08-08 18:10:15,1.50 s
2024-08-08 18:10:30,1.49 s
2024-08-08 18:10:45,1.49 s
2024-08-08 18:11:00,1.49 s
2024-08-08 18:11:15,1.49 s
2024-08-08 18:11:30,1.50 s
2024-08-08 18:11:45,1.52 s
2024-08-08 18:12:00,1.60 s
2024-08-08 18:12:15,1.58 s
2024-08-08 18:12:30,1.55 s
2024-08-08 18:12:45,1.46 s
2024-08-08 18:13:00,1.46 s
2024-08-08 18:13:15,1.46 s
2024-08-08 18:13:30,1.54 s
2024-08-08 18:13:45,1.52 s
2024-08-08 18:14:00,1.58 s
2024-08-08 18:14:15,1.46 s
2024-08-08 18:14:30,1.54 s
2024-08-08 18:14:45,1.43 s
2024-08-08 18:15:00,1.48 s
2024-08-08 18:15:15,1.42 s
2024-08-08 18:15:30,1.53 s
2024-08-08 18:15:45,1.53 s
2024-08-08 18:16:00,1.52 s
2024-08-08 18:16:15,1.44 s
2024-08-08 18:16:30,1.43 s
2024-08-08 18:16:45,1.42 s
2024-08-08 18:17:00,1.43 s
2024-08-08 18:17:15,1.56 s
2024-08-08 18:17:30,1.53 s
2024-08-08 18:17:45,1.52 s
2024-08-08 18:18:00,1.40 s
2024-08-08 18:18:15,1.38 s
2024-08-08 18:18:30,1.38 s
2024-08-08 18:18:45,1.38 s
2024-08-08 18:19:00,1.39 s
2024-08-08 18:19:15,1.39 s
2024-08-08 18:19:30,1.41 s
2024-08-08 18:19:45,1.42 s
2024-08-08 18:20:00,1.42 s
2024-08-08 18:20:15,1.41 s
2024-08-08 18:20:30,1.40 s
2024-08-08 18:20:45,1.37 s
2024-08-08 18:21:00,1.40 s
2024-08-08 18:21:15,1.41 s
2024-08-08 18:21:30,1.45 s
2024-08-08 18:21:45,1.43 s
2024-08-08 18:22:00,1.43 s
2024-08-08 18:22:15,1.43 s
2024-08-08 18:22:30,1.42 s
2024-08-08 18:22:45,1.41 s
2024-08-08 18:23:00,1.36 s
2024-08-08 18:23:15,NaN
2024-08-08 18:23:30,NaN
2024-08-08 18:23:45,NaN
2024-08-08 18:24:00,NaN