"Time","Average Compilation Time"
2024-08-08 18:09:00,NaN
2024-08-08 18:09:15,NaN
2024-08-08 18:09:30,NaN
2024-08-08 18:09:45,NaN
2024-08-08 18:10:00,883 ms
2024-08-08 18:10:15,852 ms
2024-08-08 18:10:30,838 ms
2024-08-08 18:10:45,829 ms
2024-08-08 18:11:00,806 ms
2024-08-08 18:11:15,813 ms
2024-08-08 18:11:30,851 ms
2024-08-08 18:11:45,862 ms
2024-08-08 18:12:00,861 ms
2024-08-08 18:12:15,822 ms
2024-08-08 18:12:30,816 ms
2024-08-08 18:12:45,816 ms
2024-08-08 18:13:00,821 ms
2024-08-08 18:13:15,831 ms
2024-08-08 18:13:30,852 ms
2024-08-08 18:13:45,852 ms
2024-08-08 18:14:00,847 ms
2024-08-08 18:14:15,855 ms
2024-08-08 18:14:30,874 ms
2024-08-08 18:14:45,903 ms
2024-08-08 18:15:00,870 ms
2024-08-08 18:15:15,851 ms
2024-08-08 18:15:30,822 ms
2024-08-08 18:15:45,852 ms
2024-08-08 18:16:00,844 ms
2024-08-08 18:16:15,848 ms
2024-08-08 18:16:30,832 ms
2024-08-08 18:16:45,839 ms
2024-08-08 18:17:00,835 ms
2024-08-08 18:17:15,841 ms
2024-08-08 18:17:30,846 ms
2024-08-08 18:17:45,853 ms
2024-08-08 18:18:00,857 ms
2024-08-08 18:18:15,871 ms
2024-08-08 18:18:30,861 ms
2024-08-08 18:18:45,860 ms
2024-08-08 18:19:00,859 ms
2024-08-08 18:19:15,858 ms
2024-08-08 18:19:30,842 ms
2024-08-08 18:19:45,835 ms
2024-08-08 18:20:00,847 ms
2024-08-08 18:20:15,853 ms
2024-08-08 18:20:30,860 ms
2024-08-08 18:20:45,873 ms
2024-08-08 18:21:00,867 ms
2024-08-08 18:21:15,856 ms
2024-08-08 18:21:30,824 ms
2024-08-08 18:21:45,836 ms
2024-08-08 18:22:00,829 ms
2024-08-08 18:22:15,841 ms
2024-08-08 18:22:30,836 ms
2024-08-08 18:22:45,846 ms
2024-08-08 18:23:00,859 ms
2024-08-08 18:23:15,NaN
2024-08-08 18:23:30,NaN
2024-08-08 18:23:45,NaN
2024-08-08 18:24:00,NaN