"Time","Number of processed executions p/ minute"
2024-08-08 19:06:45,0
2024-08-08 19:07:00,0
2024-08-08 19:07:15,-33.3
2024-08-08 19:07:30,-73.3
2024-08-08 19:07:45,-137
2024-08-08 19:08:00,-139
2024-08-08 19:08:15,-98.7
2024-08-08 19:08:30,-30.7
2024-08-08 19:08:45,6.67
2024-08-08 19:09:00,8
2024-08-08 19:09:15,9.33
2024-08-08 19:09:30,6.67
2024-08-08 19:09:45,9.33
2024-08-08 19:10:00,6.67
2024-08-08 19:10:15,8.00
2024-08-08 19:10:30,9.33
2024-08-08 19:10:45,8.00
2024-08-08 19:11:00,9.33
2024-08-08 19:11:15,6.67
2024-08-08 19:11:30,6.67
2024-08-08 19:11:45,9.33
2024-08-08 19:12:00,8.00
2024-08-08 19:12:15,9.33
2024-08-08 19:12:30,6.67
2024-08-08 19:12:45,6.67
2024-08-08 19:13:00,9.33
2024-08-08 19:13:15,8.00
2024-08-08 19:13:30,9.33
2024-08-08 19:13:45,8
2024-08-08 19:14:00,6.67
2024-08-08 19:14:15,9.33
2024-08-08 19:14:30,6.67
2024-08-08 19:14:45,12
2024-08-08 19:15:00,8
2024-08-08 19:15:15,10.7
2024-08-08 19:15:30,8.00
2024-08-08 19:15:45,6.67
2024-08-08 19:16:00,9.33
2024-08-08 19:16:15,6.67
2024-08-08 19:16:30,10.7
2024-08-08 19:16:45,6.67
2024-08-08 19:17:00,6.67
2024-08-08 19:17:15,9.33
2024-08-08 19:17:30,6.67
2024-08-08 19:17:45,9.33
2024-08-08 19:18:00,6.67
2024-08-08 19:18:15,6.67
2024-08-08 19:18:30,10.7
2024-08-08 19:18:45,6.66
2024-08-08 19:19:00,8
2024-08-08 19:19:15,6.67
2024-08-08 19:19:30,6.67
2024-08-08 19:19:45,8.00
2024-08-08 19:20:00,6.67
2024-08-08 19:20:15,9.33
2024-08-08 19:20:30,8
2024-08-08 19:20:45,5.33
2024-08-08 19:21:00,6.67
2024-08-08 19:21:15,6.67
2024-08-08 19:21:30,9.33
2024-08-08 19:21:45,8
2024-08-08 19:22:00,8.00
2024-08-08 19:22:15,9.33
2024-08-08 19:22:30,8.00
2024-08-08 19:22:45,9.33
2024-08-08 19:23:00,6.67
2024-08-08 19:23:15,6.67
2024-08-08 19:23:30,9.33
2024-08-08 19:23:45,8.00
2024-08-08 19:24:00,10.7
2024-08-08 19:24:15,6.67
2024-08-08 19:24:30,5.33
2024-08-08 19:24:45,1.33
2024-08-08 19:25:00,0
2024-08-08 19:25:15,0
2024-08-08 19:25:30,0
2024-08-08 19:25:45,0
2024-08-08 19:26:00,0