"Time","Average Execution Time"
2024-08-08 13:47:00,NaN
2024-08-08 13:47:15,NaN
2024-08-08 13:47:30,NaN
2024-08-08 13:47:45,NaN
2024-08-08 13:48:00,NaN
2024-08-08 13:48:15,NaN
2024-08-08 13:48:30,NaN
2024-08-08 13:48:45,NaN
2024-08-08 13:49:00,NaN
2024-08-08 13:49:15,NaN
2024-08-08 13:49:30,NaN
2024-08-08 13:49:45,NaN
2024-08-08 13:50:00,NaN
2024-08-08 13:50:15,NaN
2024-08-08 13:50:30,NaN
2024-08-08 13:50:45,1.61 s
2024-08-08 13:51:00,1.67 s
2024-08-08 13:51:15,1.66 s
2024-08-08 13:51:30,1.68 s
2024-08-08 13:51:45,1.58 s
2024-08-08 13:52:00,1.52 s
2024-08-08 13:52:15,1.44 s
2024-08-08 13:52:30,1.44 s
2024-08-08 13:52:45,1.54 s
2024-08-08 13:53:00,1.62 s
2024-08-08 13:53:15,1.69 s
2024-08-08 13:53:30,1.66 s
2024-08-08 13:53:45,1.59 s
2024-08-08 13:54:00,1.55 s
2024-08-08 13:54:15,1.54 s
2024-08-08 13:54:30,1.56 s
2024-08-08 13:54:45,1.55 s
2024-08-08 13:55:00,1.44 s
2024-08-08 13:55:15,1.50 s
2024-08-08 13:55:30,1.46 s
2024-08-08 13:55:45,1.55 s
2024-08-08 13:56:00,1.54 s
2024-08-08 13:56:15,1.56 s
2024-08-08 13:56:30,1.58 s
2024-08-08 13:56:45,1.58 s
2024-08-08 13:57:00,1.60 s
2024-08-08 13:57:15,1.58 s
2024-08-08 13:57:30,1.51 s
2024-08-08 13:57:45,1.40 s
2024-08-08 13:58:00,1.43 s
2024-08-08 13:58:15,1.43 s
2024-08-08 13:58:30,1.72 s
2024-08-08 13:58:45,NaN
2024-08-08 13:59:00,NaN
2024-08-08 13:59:15,NaN
2024-08-08 13:59:30,NaN
2024-08-08 13:59:45,NaN
2024-08-08 14:00:00,NaN
2024-08-08 14:00:15,NaN
2024-08-08 14:00:30,NaN
2024-08-08 14:00:45,NaN
2024-08-08 14:01:00,NaN
2024-08-08 14:01:15,NaN
2024-08-08 14:01:30,NaN
2024-08-08 14:01:45,NaN
2024-08-08 14:02:00,NaN