"Time","Waiting for Executor"
2024-08-08 13:48:30,0
2024-08-08 13:48:45,0
2024-08-08 13:49:00,0
2024-08-08 13:49:15,0
2024-08-08 13:49:30,0
2024-08-08 13:49:45,0
2024-08-08 13:50:00,0
2024-08-08 13:50:15,0
2024-08-08 13:50:30,0
2024-08-08 13:50:45,35
2024-08-08 13:51:00,73
2024-08-08 13:51:15,111
2024-08-08 13:51:30,146
2024-08-08 13:51:45,185
2024-08-08 13:52:00,221
2024-08-08 13:52:15,228
2024-08-08 13:52:30,220
2024-08-08 13:52:45,208
2024-08-08 13:53:00,200
2024-08-08 13:53:15,188
2024-08-08 13:53:30,180
2024-08-08 13:53:45,168
2024-08-08 13:54:00,160
2024-08-08 13:54:15,148
2024-08-08 13:54:30,139
2024-08-08 13:54:45,128
2024-08-08 13:55:00,116
2024-08-08 13:55:15,108
2024-08-08 13:55:30,96
2024-08-08 13:55:45,88
2024-08-08 13:56:00,76
2024-08-08 13:56:15,67
2024-08-08 13:56:30,54
2024-08-08 13:56:45,46
2024-08-08 13:57:00,38
2024-08-08 13:57:15,26
2024-08-08 13:57:30,18
2024-08-08 13:57:45,5
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0
2024-08-08 13:58:15,0
2024-08-08 13:58:30,0
2024-08-08 13:58:45,0
2024-08-08 13:59:00,0
2024-08-08 13:59:15,0
2024-08-08 13:59:30,0
2024-08-08 13:59:45,0
2024-08-08 13:58:00,0